"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Testes de Transferência TED","4","0","","0"
"2","","0","Testes de Login","6","0","","0"
"5","","0","Testes de Alterar Senha","3","0","","0"
"1","","0","Testes de Cadastro","5","0","","0"
"0","","2","Testes de Deposito","2","0","","0"
"0","","0","PERFIL - SOCIAL E ESCOLARIDADE","2","0","","0"
"0","","2","TRANSFERÊNCIA PIX","2","0","","0"
"0","","0","CHAVE PIX","2","0","","0"
"0","","2","Testes de Saque","2","0","","0"
"1","","0","Testes de Alterar Dados Pessoais","1","0","","0"
